GEOID_2019,ST_ABBREV,TURBZNAME,TURBZCODE,TLIFENAME,TLIFECODE,TSEGNAME,households,urbanization,lifemode,segment
240010013002,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240010014011,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240010014012,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010014013,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010014021,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010015021,MD,Rural,6,Cozy Country Living,6,Salt of the Earth,22,Rural,Cozy Country Living,Salt of the Earth
240010015031,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240010015032,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240010015033,MD,Rural,6,Cozy Country Living,6,Salt of the Earth,22,Rural,Cozy Country Living,Salt of the Earth
240010016001,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010017001,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010017002,MD,Semirural,5,Hometown,12,Small Town Simplicity,58,Semirural,Hometown,Small Town Simplicity
240010017003,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010017004,MD,Metro Cities,3,Senior Styles,9,Retirement Communities,44,Metro Cities,Senior Styles,Retirement Communities
240010018001,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240010018002,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240010018003,MD,Metro Cities,3,Scholars and Patriots,14,Dorms to Diplomas,67,Metro Cities,Scholars and Patriots,Dorms to Diplomas
240010019001,MD,Rural,6,Cozy Country Living,6,Salt of the Earth,22,Rural,Cozy Country Living,Salt of the Earth
240010019002,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240010020001,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240010020002,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240010020003,MD,Rural,6,Cozy Country Living,6,Salt of the Earth,22,Rural,Cozy Country Living,Salt of the Earth
240010021001,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240010021002,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240010022001,MD,Rural,6,Rustic Outposts,10,Rooted Rural,47,Rural,Rustic Outposts,Rooted Rural
240010022002,MD,Semirural,5,Hometown,12,Small Town Simplicity,58,Semirural,Hometown,Small Town Simplicity
240010022003,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240037011011,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037011012,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037011013,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240037011014,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037011021,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037011022,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037011023,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240037011024,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037012001,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240037012002,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240037012003,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037012004,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240037013001,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037013002,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037013003,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037013004,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037014001,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037014002,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037021001,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037021002,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037021003,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037021004,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037021005,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037022041,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037022042,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037022051,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037022052,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037022053,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037022061,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037022062,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037022063,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240037022081,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037022082,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240037022091,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240037022092,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240037022093,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037023001,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037023002,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037023003,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037023004,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037024021,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037024022,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240037024023,MD,Suburban Periphery,4,Senior Styles,9,Silver & Gold,40,Suburban Periphery,Senior Styles,Silver & Gold
240037025001,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037025002,MD,Urban Periphery,2,Midtown Singles,11,Metro Fusion,53,Urban Periphery,Midtown Singles,Metro Fusion
240037025003,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037025004,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037026011,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037026012,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037026013,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037026014,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037026015,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037026021,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037026022,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037026023,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037027011,MD,Metro Cities,3,Middle Ground,8,Emerald City,34,Metro Cities,Middle Ground,Emerald City
240037027012,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037027013,MD,Principal Urban Center,1,Uptown Individuals,3,Metro Renters,11,Principal Urban Center,Uptown Individuals,Metro Renters
240037027021,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037027022,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037061011,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037061012,MD,Principal Urban Center,1,Uptown Individuals,3,Laptops and Lattes,10,Principal Urban Center,Uptown Individuals,Laptops and Lattes
240037061013,MD,Metro Cities,3,Senior Styles,9,Social Security Set,45,Metro Cities,Senior Styles,Social Security Set
240037063011,MD,Metro Cities,3,Senior Styles,9,Retirement Communities,44,Metro Cities,Senior Styles,Retirement Communities
240037063012,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240037063013,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037063021,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240037063022,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037063023,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037064011,MD,Urban Periphery,2,Middle Ground,8,City Lights,33,Urban Periphery,Middle Ground,City Lights
240037064012,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240037064013,MD,Urban Periphery,2,Middle Ground,8,City Lights,33,Urban Periphery,Middle Ground,City Lights
240037064021,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240037064022,MD,Metro Cities,3,Middle Ground,8,Front Porches,37,Metro Cities,Middle Ground,Front Porches
240037065001,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240037065002,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037065003,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240037065004,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037066001,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037066002,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037066003,MD,Metro Cities,3,Middle Ground,8,Emerald City,34,Metro Cities,Middle Ground,Emerald City
240037066004,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037066005,MD,Metro Cities,3,Midtown Singles,11,City Commons,55,Metro Cities,Midtown Singles,City Commons
240037067001,MD,Suburban Periphery,4,Scholars and Patriots,14,Military Proximity,65,Suburban Periphery,Scholars and Patriots,Military Proximity
240037070011,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037070012,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037070013,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240037070021,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037070022,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037070023,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037080011,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037080012,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037080041,MD,Semirural,5,Rustic Outposts,10,Down the Road,49,Semirural,Rustic Outposts,Down the Road
240037080042,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037080043,MD,Rural,6,Rustic Outposts,10,Southern Satellites,46,Rural,Rustic Outposts,Southern Satellites
240037301001,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037301002,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240037301003,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037302031,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240037302032,MD,Metro Cities,3,Senior Styles,9,Social Security Set,45,Metro Cities,Senior Styles,Social Security Set
240037302033,MD,Metro Cities,3,Midtown Singles,11,Young and Restless,52,Metro Cities,Midtown Singles,Young and Restless
240037302034,MD,Metro Cities,3,Midtown Singles,11,Young and Restless,52,Metro Cities,Midtown Singles,Young and Restless
240037302041,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037302042,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240037302043,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240037303001,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240037303002,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240037304011,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240037304012,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240037304021,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240037304022,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240037304023,MD,Metro Cities,3,Middle Ground,8,Front Porches,37,Metro Cities,Middle Ground,Front Porches
240037305021,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037305022,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240037305023,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240037305041,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240037305042,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240037305043,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240037305051,MD,Metro Cities,3,Midtown Singles,11,Young and Restless,52,Metro Cities,Midtown Singles,Young and Restless
240037305052,MD,Urban Periphery,2,Midtown Singles,11,Metro Fusion,53,Urban Periphery,Midtown Singles,Metro Fusion
240037305061,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240037305062,MD,Urban Periphery,2,Midtown Singles,11,Metro Fusion,53,Urban Periphery,Midtown Singles,Metro Fusion
240037305063,MD,Metro Cities,3,Midtown Singles,11,Young and Restless,52,Metro Cities,Midtown Singles,Young and Restless
240037306011,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037306012,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037306013,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037306014,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037306031,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240037306032,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240037306041,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037306042,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037306043,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037307001,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037307002,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240037307003,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037307004,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037307005,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037308001,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037309011,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037309012,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037309013,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037309021,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037309022,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037310021,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037310022,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037310031,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037310032,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037310033,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037310041,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037310042,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037311021,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037311022,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037311023,MD,Metro Cities,3,GenXurban,5,In Style,17,Metro Cities,GenXurban,In Style
240037311024,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037311031,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037311032,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240037311033,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037311041,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240037311042,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037311051,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037311052,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037312011,MD,Suburban Periphery,4,Affluent Estates,1,Top Tier,1,Suburban Periphery,Affluent Estates,Top Tier
240037312012,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240037312013,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037312014,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037312021,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240037312022,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037312023,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240037312024,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
